Nombre,Edad,Titulo_Profesional,Universidad_Instituto,Palabras_Clave,Comuna,Presencial,Magister,Target
Waldo Espinoza-Álvarez,57,Técnico en Informática,Universidad Técnica Federico Santa María,16,Viña del Mar,No,No,Rechazado
Juan Osorio,61,Técnico en Administración,DUOC UC,2,Ñuñoa,No,No,Rechazado
Juan Jorge Monsalve Navarrete,43,Psicólogo,Universidad Diego Portales,4,Peñalolén,No,Si,Rechazado
Sergio Carlos Díaz Muñoz,57,Periodista,INACAP,14,Las Condes,Si,Si,Aceptado
Daniela Camila Arias Fernández,64,Ingeniero Comercial,DUOC UC,1,Ñuñoa,No,Si,Rechazado
Blanca Ortega Villar,23,Abogado,Universidad de Chile,20,Antofagasta,No,Si,Aceptado
Milagros Tapia,64,Técnico en Administración,Universidad Adolfo Ibáñez,7,Viña del Mar,Si,No,Rechazado
José Ricardo Guerrero Campos,60,Diseñador Gráfico,Universidad de Concepción,2,Recoleta,Si,Si,Rechazado
Elisa Angelina Fuentes Bustos,51,Ingeniero Informático,Universidad Diego Portales,5,Concepción,Si,Si,Rechazado
Mercedes Castillo Ahumada,40,Psicólogo,Universidad Mayor,4,Recoleta,Si,No,Rechazado
Sofía Valenzuela,45,Diseñador Gráfico,Universidad Técnica Federico Santa María,18,Viña del Mar,Si,No,Aceptado
Ana Ruth Urbina Jiménez,42,Ingeniero Civil,Universidad de Santiago,16,Peñalolén,No,No,Aceptado
William Martín Pavez Méndez,46,Psicólogo,Universidad de Chile,17,La Florida,Si,No,Aceptado
Rogelio Víctor Aedo Vargas,36,Ingeniero Comercial,Universidad de Santiago,8,Santiago,Si,Si,Aceptado
José González Sáez,42,Técnico en Administración,DUOC UC,6,Valparaíso,No,Si,Aceptado
Ingrid Priscila Llanos Rojas,28,Psicólogo,Universidad de Concepción,8,Estación Central,Si,Si,Rechazado
Octavio Manuel Navarro Escobar,50,Ingeniero Informático,Universidad de Santiago,17,Providencia,Si,No,Rechazado
José Mauricio Barra Ibarra,60,Técnico en Informática,Universidad Diego Portales,2,Viña del Mar,No,No,Rechazado
Christian Brito Velásquez,52,Técnico en Administración,Universidad de Concepción,2,San Miguel,Si,No,Rechazado
Sebastián Miguel Fierro-Berríos Flores,55,Técnico en Administración,Pontificia Universidad Católica,2,Quilicura,No,No,Rechazado
María Alice Norambuena Sáez,65,Ingeniero Civil,Universidad Técnica Federico Santa María,6,Independencia,Si,Si,Aceptado
María Lucía Osorio Iturra,25,Licenciado en Ciencias,Universidad de Concepción,12,San Miguel,Si,No,Rechazado
Marcelo Maturana,23,Contador Auditor,Universidad Adolfo Ibáñez,2,Ñuñoa,Si,No,Rechazado
Tomás Barra,51,Arquitecto,DUOC UC,12,La Florida,Si,No,Rechazado
Javiera Arancibia Jara,60,Abogado,Instituto Profesional AIEP,13,Puente Alto,No,Si,Aceptado
Agustina Hernández Bustamante,50,Técnico en Administración,Instituto Profesional AIEP,20,Providencia,No,Si,Aceptado
Vicente José Núñez Vergara,31,Técnico en Informática,Pontificia Universidad Católica,6,Estación Central,No,No,Rechazado
Alejandra Olga Ramos Arias,22,Arquitecto,Universidad Diego Portales,16,Viña del Mar,No,Si,Aceptado
Marcos Gaspar Vargas Godoy,25,Técnico en Administración,Universidad de Chile,17,Estación Central,Si,No,Aceptado
Facundo Vera,46,Enfermero,Instituto Profesional AIEP,15,Recoleta,Si,No,Rechazado
Vicente Solís,33,Enfermero,Pontificia Universidad Católica,4,Puente Alto,No,No,Rechazado
Exequiel Silva Sánchez,64,Abogado,Pontificia Universidad Católica,5,Independencia,No,No,Rechazado
Amanda Venegas Soto,28,Licenciado en Ciencias,Universidad Adolfo Ibáñez,19,La Florida,Si,Si,Aceptado
Juan Daniel Carmona Orellana,29,Abogado,Universidad Mayor,19,San Miguel,No,No,Rechazado
Katherine Vergara,31,Arquitecto,Universidad Diego Portales,10,Maipú,Si,Si,Aceptado
Ximena Guzmán,47,Ingeniero Informático,Universidad de Concepción,8,San Miguel,Si,Si,Aceptado
Cristian Vásquez Vallejos,26,Médico,Universidad Diego Portales,14,Las Condes,Si,No,Aceptado
Isidora Bórquez Jaramillo,30,Técnico en Informática,Universidad Andrés Bello,2,Valparaíso,No,No,Rechazado
Fernando Juan Villegas Pizarro,56,Ingeniero Informático,INACAP,17,Las Condes,No,No,Aceptado
Lorena Trujillo Carrasco,38,Periodista,Universidad de Concepción,2,Peñalolén,Si,No,Rechazado
Teresa Paola Machuca Salgado,46,Abogado,Pontificia Universidad Católica,8,Quilicura,No,No,Rechazado
Felipe Alonso Osses Arteaga,58,Ingeniero Civil,Universidad de Chile,1,Recoleta,No,Si,Rechazado
Norma Méndez,50,Periodista,Pontificia Universidad Católica,8,La Serena,No,No,Rechazado
Berta Josefina Leyton Véliz,55,Diseñador Gráfico,Universidad Mayor,11,Providencia,No,Si,Rechazado
Juan Manuel Martinez Riveros,32,Psicólogo,Universidad Andrés Bello,1,Concepción,Si,Si,Rechazado
María Sofía Troncoso Arriagada,36,Técnico en Informática,Pontificia Universidad Católica,5,Estación Central,Si,Si,Aceptado
León Villarroel Yáñez,27,Ingeniero Civil,Universidad Técnica Federico Santa María,4,Valparaíso,No,Si,Rechazado
Luis José Pinto Carreño,34,Psicólogo,Universidad Adolfo Ibáñez,4,Quilicura,No,No,Rechazado
Rodrigo Jorge Castillo Leal,24,Médico,Universidad Adolfo Ibáñez,7,Providencia,No,Si,Rechazado
Juan Donoso Fuentes,48,Psicólogo,Pontificia Universidad Católica,12,Antofagasta,No,No,Rechazado
María Luisa Ahumada Torres,61,Contador Auditor,Instituto Profesional AIEP,0,Maipú,No,Si,Rechazado
Katherine Emma Pérez Olivares,62,Diseñador Gráfico,Universidad Diego Portales,12,Maipú,No,No,Rechazado
Luz Elizabeth Garay Aguilar,48,Periodista,Instituto Profesional AIEP,5,Independencia,Si,Si,Aceptado
Diego Villarroel Manríquez,26,Contador Auditor,Universidad Mayor,10,Independencia,No,Si,Rechazado
Sergio Isaac Leal Fernández,63,Periodista,Instituto Profesional AIEP,9,La Serena,Si,No,Rechazado
Rodrigo Osorio,51,Abogado,Universidad Adolfo Ibáñez,6,Santiago,No,No,Rechazado
Myriam Eloísa Maldonado Lobos,50,Ingeniero Informático,Universidad Técnica Federico Santa María,11,Estación Central,No,Si,Aceptado
Samuel Nicolás Alarcón Valdebenito,53,Licenciado en Ciencias,Universidad de Santiago,12,Maipú,Si,No,Rechazado
Katalina Rita Saavedra Miranda,52,Enfermero,Pontificia Universidad Católica,1,La Serena,Si,No,Rechazado
Rossana Cancino Barrera,45,Médico,Universidad Andrés Bello,12,Maipú,No,Si,Rechazado
Elizabeth Mery Fernández Ramírez,31,Ingeniero Informático,Universidad de Santiago,8,La Florida,No,Si,Rechazado
Ramón Guerrero,49,Técnico en Administración,Universidad Adolfo Ibáñez,14,Puente Alto,No,No,Aceptado
Sebastián Enrique Pérez Romero,48,Médico,Instituto Profesional AIEP,16,Valparaíso,Si,Si,Aceptado
Luciano David Moyano Yáñez,38,Contador Auditor,INACAP,9,San Miguel,No,No,Aceptado
Maritza Patricia Sanhueza Gómez,39,Técnico en Informática,Universidad de Concepción,17,Independencia,No,Si,Rechazado
José Verdugo Rebolledo,50,Enfermero,Universidad Técnica Federico Santa María,11,Maipú,No,Si,Rechazado
Norma Gallardo Pizarro,28,Periodista,INACAP,10,Recoleta,Si,Si,Rechazado
Franz Zenteno-Cruz,36,Contador Auditor,Pontificia Universidad Católica,18,La Florida,No,No,Rechazado
Antonella Rosa Céspedes Díaz,56,Abogado,Universidad de Santiago,12,Viña del Mar,Si,Si,Rechazado
Camila Irma Barra Acosta,36,Enfermero,INACAP,10,Recoleta,Si,No,Aceptado
Elsa Ingrid Vásquez Muñoz,38,Ingeniero Civil,DUOC UC,11,La Serena,No,Si,Aceptado
Amalia Lorena Montenegro Lagos,50,Técnico en Administración,Pontificia Universidad Católica,20,Recoleta,Si,Si,Aceptado
Alexander Raúl Aguirre Vivanco,59,Psicólogo,Pontificia Universidad Católica,14,Estación Central,Si,Si,Aceptado
Marcela Blanca Ampuero-Meléndez González,56,Ingeniero Civil,Universidad de Concepción,16,Concepción,Si,No,Rechazado
Victoria Varela,37,Técnico en Informática,Universidad Andrés Bello,7,Santiago,Si,Si,Aceptado
Benjamín Luis Cortez Carrasco,46,Contador Auditor,Universidad Técnica Federico Santa María,16,Maipú,No,Si,Aceptado
Manuel Gustavo Mora Morales,50,Médico,Universidad de Concepción,11,Puente Alto,No,Si,Aceptado
Christofer Valenzuela,24,Ingeniero Civil,Universidad Técnica Federico Santa María,19,Viña del Mar,No,Si,Aceptado
Laura Cornejo,38,Ingeniero Comercial,INACAP,11,Antofagasta,Si,Si,Aceptado
Amaya María Suazo Alarcón,30,Arquitecto,Universidad de Santiago,5,Quilicura,No,Si,Rechazado
Florencia Patricia Carvajal Véliz,23,Diseñador Gráfico,Universidad Adolfo Ibáñez,7,Puente Alto,No,Si,Rechazado
María Carolina Palma Salazar,34,Periodista,Universidad Diego Portales,16,Las Condes,No,Si,Aceptado
Gloria Jiménez,53,Abogado,Universidad Mayor,10,La Serena,Si,No,Rechazado
Tomás Vidal Berríos,54,Enfermero,INACAP,5,Providencia,No,No,Rechazado
María Daniela Cáceres-Cancino Ávila,62,Contador Auditor,Instituto Profesional AIEP,16,Santiago,No,Si,Aceptado
Fabiola Jara,53,Psicólogo,Universidad Técnica Federico Santa María,14,Ñuñoa,No,Si,Aceptado
Cristian Toro,31,Ingeniero Civil,Universidad Adolfo Ibáñez,7,Antofagasta,No,Si,Aceptado
José Diego Henríquez Barrientos,54,Enfermero,Universidad Diego Portales,1,Valparaíso,No,Si,Rechazado
Carlos Neira,34,Médico,Universidad de Santiago,19,Las Condes,No,Si,Aceptado
María Cynthia Gómez Aravena,60,Contador Auditor,Universidad Técnica Federico Santa María,1,Providencia,Si,Si,Aceptado
Diego Víctor Ramírez Quintana,65,Psicólogo,Universidad de Concepción,16,La Serena,No,No,Rechazado
Andrés Sandoval,24,Contador Auditor,Universidad de Chile,5,San Miguel,No,No,Rechazado
Martina Beatriz Abarca Herrera,62,Enfermero,Universidad de Chile,17,Estación Central,No,Si,Aceptado
José Acevedo Aguilar,29,Médico,Universidad Adolfo Ibáñez,17,Viña del Mar,No,No,Aceptado
Anaís Castro,28,Técnico en Administración,Universidad Adolfo Ibáñez,10,La Florida,No,No,Rechazado
Clementina Nicole Zúñiga Cid,25,Psicólogo,Universidad Mayor,5,Peñalolén,Si,No,Rechazado
Katherinne Cisterna,62,Ingeniero Comercial,DUOC UC,9,La Florida,No,No,Rechazado
Lucas Matías Lucero Donoso,39,Ingeniero Comercial,Pontificia Universidad Católica,11,Estación Central,No,No,Rechazado
María Fabiola Hernández Véliz,40,Técnico en Informática,Universidad Andrés Bello,13,Viña del Mar,Si,No,Aceptado
Diego Pedro Ortiz Calderón,29,Psicólogo,INACAP,20,Providencia,No,No,Aceptado
Marisol María Ortega Acuña,39,Contador Auditor,Universidad Diego Portales,18,Providencia,Si,No,Aceptado
Ramón Cáceres Saldivia,53,Psicólogo,Universidad Mayor,8,La Florida,Si,Si,Rechazado
Mauricio Silva Rodríguez,50,Enfermero,Universidad Andrés Bello,14,Valparaíso,Si,Si,Aceptado
Eduardo Eloy Fernández Hernández,33,Ingeniero Comercial,Universidad Técnica Federico Santa María,16,Recoleta,No,No,Aceptado
Jorge Luis Rivera Henríquez,41,Diseñador Gráfico,Universidad de Chile,4,Maipú,No,No,Rechazado
Bárbara Karen Pinto Carrasco,65,Psicólogo,INACAP,19,Las Condes,Si,No,Aceptado
Juan Ricardo Jerez Venegas,62,Técnico en Administración,Universidad Adolfo Ibáñez,3,Peñalolén,Si,Si,Aceptado
Jenny Figueroa-Rubio Cerda,55,Ingeniero Civil,Instituto Profesional AIEP,3,La Florida,No,No,Rechazado
Agustina Valenzuela Carreño,33,Abogado,Pontificia Universidad Católica,2,Peñalolén,No,No,Rechazado
Guillermo Gálvez,61,Licenciado en Ciencias,Universidad Andrés Bello,20,Quilicura,No,Si,Aceptado
Ana María González Paz,51,Ingeniero Comercial,Universidad de Santiago,9,Las Condes,No,Si,Aceptado
María Astrid Garrido Rubio,35,Arquitecto,INACAP,1,Las Condes,No,No,Rechazado
Nicol Paula Ramírez Palma,35,Arquitecto,Pontificia Universidad Católica,6,Antofagasta,No,No,Rechazado
Manuel García,23,Enfermero,Universidad de Santiago,6,La Florida,No,Si,Rechazado
Francisco Orellana Castillo,23,Ingeniero Comercial,Universidad Técnica Federico Santa María,2,Maipú,Si,No,Rechazado
Alejandra Flores-Gálvez,22,Ingeniero Civil,Universidad Adolfo Ibáñez,7,Antofagasta,No,No,Rechazado
Gloria Elena Garrido Sepúlveda,52,Médico,Universidad Mayor,10,Maipú,Si,Si,Rechazado
Aníbal Domingo Orellana Vilches,35,Contador Auditor,DUOC UC,15,Concepción,No,No,Rechazado
Makarena Hernández-Contreras Farías,22,Enfermero,Universidad Andrés Bello,4,Las Condes,Si,No,Rechazado
José Juan Pacheco Albornoz,64,Periodista,Pontificia Universidad Católica,11,Valparaíso,No,No,Rechazado
Juan Valenzuela Espinoza,64,Ingeniero Informático,Universidad Mayor,4,La Florida,Si,No,Rechazado
Claudio Paredes Navarrete,33,Abogado,Universidad de Chile,4,Ñuñoa,Si,No,Rechazado
Karina Gladys Pérez Castillo,36,Ingeniero Informático,Universidad de Santiago,5,Estación Central,Si,No,Aceptado
Sandra Gaete,41,Abogado,Universidad de Concepción,17,Las Condes,No,Si,Aceptado
Alexandra Florentina Arellano Cerda,26,Periodista,Universidad Mayor,0,Peñalolén,Si,No,Rechazado
María Magali Reyes Barrios,35,Diseñador Gráfico,Universidad Mayor,11,Las Condes,Si,Si,Rechazado
Armando Valencia,52,Ingeniero Informático,Universidad Diego Portales,14,Estación Central,Si,Si,Aceptado
Evelin Nidia Ruiz Elgueta,44,Ingeniero Comercial,Universidad de Chile,11,Peñalolén,Si,No,Aceptado
Gina Acosta,37,Diseñador Gráfico,Universidad Diego Portales,17,Santiago,No,No,Aceptado
Tomás Plaza Bustamante,29,Periodista,Universidad de Concepción,17,Concepción,Si,No,Aceptado
Francisco Verdugo Morales,59,Contador Auditor,INACAP,4,Las Condes,Si,Si,Rechazado
Consuelo Allende Lara,55,Técnico en Informática,DUOC UC,0,Concepción,No,Si,Rechazado
Sandra Isidora Alvarado Álvarez,29,Psicólogo,Universidad Andrés Bello,14,Maipú,No,No,Aceptado
Enrique Jorquera Soto,33,Arquitecto,Universidad Adolfo Ibáñez,7,Independencia,Si,No,Rechazado
David Carlos Díaz Monsalve,26,Abogado,Universidad Mayor,8,Ñuñoa,No,Si,Aceptado
Marta Florencia Contreras Cabezas,49,Técnico en Informática,Pontificia Universidad Católica,1,Peñalolén,No,Si,Rechazado
Patricio Oscar Valenzuela Urrutia,30,Ingeniero Informático,Pontificia Universidad Católica,20,Providencia,No,No,Aceptado
Cecilia Peña Núñez,62,Enfermero,Universidad Andrés Bello,10,Viña del Mar,Si,Si,Aceptado
Catalina Bustos,59,Enfermero,Universidad Adolfo Ibáñez,18,Estación Central,Si,Si,Aceptado
Pabla Marcela Cruz Contreras,39,Técnico en Informática,Universidad Mayor,12,Valparaíso,No,No,Rechazado
Jorge Fuentes Pérez,45,Técnico en Informática,Universidad de Chile,6,Las Condes,No,No,Aceptado
Jaime Contreras,36,Licenciado en Ciencias,Universidad Técnica Federico Santa María,0,Recoleta,Si,Si,Rechazado
Juan Leonardo González Salas,50,Contador Auditor,INACAP,0,Concepción,No,Si,Rechazado
María Julieta Guerra Marín,56,Enfermero,Pontificia Universidad Católica,11,Viña del Mar,Si,No,Aceptado
Manuel Víctor Osses Vergara,35,Arquitecto,Universidad Adolfo Ibáñez,9,Independencia,No,Si,Rechazado
Octavio Muñoz Quiroz,30,Técnico en Administración,Universidad de Chile,2,Antofagasta,Si,No,Rechazado
Joselyn Rivas,49,Abogado,Universidad de Concepción,20,Las Condes,No,No,Rechazado
Aliro Valencia Contreras,46,Médico,Universidad Mayor,11,Peñalolén,Si,Si,Aceptado
Ana Navarrete Saldivia,57,Ingeniero Comercial,DUOC UC,14,Recoleta,No,No,Rechazado
Rodrigo Vergara Álvarez,44,Médico,Universidad de Santiago,5,San Miguel,No,Si,Rechazado
Sabina Sánchez,42,Ingeniero Civil,Universidad de Chile,10,Maipú,No,No,Aceptado
Rafael Samuel Gómez Albornoz,36,Abogado,INACAP,3,Maipú,Si,No,Rechazado
Antonella Sonia Bravo Neira,25,Diseñador Gráfico,Universidad Adolfo Ibáñez,15,La Florida,No,No,Rechazado
Martín Gaete,48,Diseñador Gráfico,Universidad Adolfo Ibáñez,14,La Serena,No,No,Aceptado
Leoncio Álvarez Miranda,51,Técnico en Informática,Universidad de Chile,17,Recoleta,No,Si,Aceptado
Kevin Alvarado,34,Técnico en Administración,Universidad Andrés Bello,3,Quilicura,Si,No,Rechazado
Raquel Morales,65,Contador Auditor,Universidad Diego Portales,9,Puente Alto,Si,No,Rechazado
Mateo Marco Mena Fernández,52,Ingeniero Informático,Universidad Mayor,6,Independencia,Si,Si,Aceptado
Ángel Segovia Tello,57,Ingeniero Civil,Universidad Andrés Bello,19,Ñuñoa,Si,Si,Aceptado
Isabel Castillo Aguilar,28,Técnico en Informática,Universidad Adolfo Ibáñez,0,Viña del Mar,Si,No,Rechazado
Yonatan Vicente Duarte Gutiérrez,34,Arquitecto,Universidad Técnica Federico Santa María,20,Viña del Mar,No,Si,Rechazado
Laura Ingrid Vidal Arroyo,30,Arquitecto,Universidad de Santiago,8,La Serena,Si,No,Rechazado
Karen Solange Contreras Ponce,63,Periodista,INACAP,7,La Serena,No,No,Rechazado
Benito Huerta,47,Ingeniero Informático,INACAP,4,Antofagasta,No,No,Rechazado
Leonardo Francisco Valenzuela Araya,60,Periodista,Instituto Profesional AIEP,9,Peñalolén,No,Si,Rechazado
Marco Mella,40,Licenciado en Ciencias,Universidad de Concepción,3,Antofagasta,No,Si,Rechazado
Evelyn Toledo,56,Contador Auditor,Universidad de Concepción,11,San Miguel,No,No,Rechazado
Iris Rodríguez,42,Técnico en Informática,Universidad Adolfo Ibáñez,16,Antofagasta,No,No,Aceptado
Claudio Fernando Fernández Meza,28,Ingeniero Comercial,Universidad Andrés Bello,10,Antofagasta,No,No,Rechazado
Fernanda Navarrete Peña,35,Enfermero,Universidad Adolfo Ibáñez,12,Maipú,No,Si,Rechazado
Ricardo Carlos Ponce Pizarro,56,Contador Auditor,Instituto Profesional AIEP,6,Las Condes,No,No,Rechazado
Salvador Vargas Sandoval,24,Periodista,Universidad de Concepción,9,Concepción,Si,Si,Aceptado
Gladys Valeria Jaramillo Vega,60,Enfermero,Universidad Mayor,13,Peñalolén,No,Si,Aceptado
Jorge Ojeda,47,Ingeniero Comercial,Universidad Andrés Bello,5,Puente Alto,Si,Si,Rechazado
Astrid Lorca,61,Periodista,Universidad Mayor,4,Puente Alto,Si,Si,Rechazado
Agustina Virginia Garrido Valenzuela,24,Ingeniero Comercial,DUOC UC,8,Estación Central,No,Si,Rechazado
Daniel Bernardo Henríquez Gálvez,25,Periodista,Universidad de Santiago,12,Santiago,Si,No,Rechazado
Cintia Isidora Olguín Rojas,23,Periodista,INACAP,4,Concepción,Si,No,Rechazado
Dagoberto Sáez Rebolledo,29,Psicólogo,Universidad de Concepción,17,Providencia,Si,Si,Aceptado
María Martina Díaz Medina,65,Abogado,Instituto Profesional AIEP,2,Providencia,Si,No,Rechazado
María Abarca-Pérez Parraguez,44,Enfermero,Universidad de Santiago,19,Providencia,No,No,Aceptado
William García,65,Ingeniero Informático,Instituto Profesional AIEP,3,Quilicura,Si,Si,Rechazado
María Ormeño Azócar,37,Contador Auditor,Universidad Andrés Bello,9,Ñuñoa,No,No,Aceptado
Gabriel Carlos Soto Ortiz,37,Técnico en Informática,Universidad Diego Portales,11,Antofagasta,No,Si,Aceptado
Luis Thomas Fuentes Astudillo,37,Enfermero,Universidad Mayor,12,Valparaíso,No,Si,Aceptado
Carolina Gabriela Cisternas Merino,61,Médico,Pontificia Universidad Católica,4,Estación Central,Si,No,Rechazado
Matías David Herrera Sánchez,51,Periodista,Universidad de Concepción,20,La Florida,Si,No,Aceptado
Diego Héctor Aedo Monsalve,43,Médico,Universidad de Concepción,17,San Miguel,Si,No,Aceptado
Vivian Juana García Vivanco,33,Enfermero,DUOC UC,5,La Serena,No,Si,Aceptado
María González Bórquez,35,Técnico en Administración,Universidad Diego Portales,3,Ñuñoa,Si,Si,Rechazado
Ana Álvarez Olguín,42,Técnico en Informática,Universidad Adolfo Ibáñez,1,Puente Alto,Si,No,Rechazado
Renata Rosalba González Salazar,30,Técnico en Administración,Universidad Técnica Federico Santa María,0,Valparaíso,No,No,Rechazado
Martina María Cuevas Olivares,25,Contador Auditor,Universidad Andrés Bello,17,Santiago,No,No,Rechazado
Juana Tiare Acosta Gómez,56,Arquitecto,Universidad Técnica Federico Santa María,10,Providencia,Si,No,Aceptado
Agustina María Navarrete Pino,33,Contador Auditor,Universidad de Santiago,14,Independencia,No,Si,Aceptado
Aníbal Contreras Muñoz,59,Periodista,Universidad de Concepción,17,Recoleta,Si,Si,Aceptado
David Ávila Varela,35,Ingeniero Informático,INACAP,5,Maipú,No,No,Aceptado
Soledad Belén Vicencio Oñate,28,Técnico en Administración,Instituto Profesional AIEP,19,Antofagasta,No,Si,Aceptado
Constanza Mónica Rebolledo Castañeda,48,Médico,Universidad Técnica Federico Santa María,1,Las Condes,No,No,Rechazado
José Guerrero Sanhueza,35,Ingeniero Comercial,Universidad Andrés Bello,19,Ñuñoa,Si,Si,Aceptado
Ignacia Edita Lizana Gómez,54,Diseñador Gráfico,Universidad Mayor,3,Maipú,Si,No,Rechazado
Emelina Garrido,22,Enfermero,Universidad Mayor,13,Valparaíso,Si,Si,Rechazado
Arturo Angulo Pérez,34,Arquitecto,Universidad Andrés Bello,20,Concepción,Si,No,Aceptado
Mariela Paola Mansilla Aránguiz,42,Médico,Universidad de Chile,1,Valparaíso,Si,No,Rechazado
Mónica Pilar González Hernández,33,Técnico en Informática,Universidad Andrés Bello,12,Providencia,No,No,Rechazado
Carolina Fuenzalida Villanueva,41,Arquitecto,Universidad de Chile,17,Independencia,No,Si,Aceptado
Fabián Carlos Díaz Cabezas,64,Arquitecto,Universidad Técnica Federico Santa María,1,Las Condes,Si,No,Rechazado
Natalia Juana Palma Gómez,40,Psicólogo,Instituto Profesional AIEP,18,Las Condes,Si,Si,Aceptado
Dante Ángel Castillo Bastías,32,Técnico en Informática,Universidad de Chile,17,Quilicura,No,Si,Aceptado
María Quispe,36,Médico,Universidad de Santiago,8,Viña del Mar,No,No,Rechazado
Gabriel Benjamín Moraga Labra,49,Técnico en Informática,DUOC UC,13,Independencia,Si,Si,Aceptado
Pablo Araya,37,Periodista,Universidad Adolfo Ibáñez,15,Ñuñoa,Si,No,Rechazado
Lidia Karen Saavedra Cisternas,38,Abogado,Universidad de Santiago,4,Puente Alto,Si,Si,Rechazado
Ana Marta Silva Cid,50,Contador Auditor,INACAP,19,Antofagasta,No,No,Aceptado
Maite Claudia Mora Gómez,58,Enfermero,Universidad Técnica Federico Santa María,19,Puente Alto,No,No,Aceptado
Eva Peña,56,Ingeniero Informático,Universidad de Concepción,6,San Miguel,Si,Si,Rechazado
Vicente Sergio Mella Becerra,43,Médico,Universidad Diego Portales,4,Viña del Mar,Si,Si,Aceptado
Rodrigo Hormazábal,23,Licenciado en Ciencias,Pontificia Universidad Católica,20,Ñuñoa,Si,No,Aceptado
Agustina Oyarzún,22,Diseñador Gráfico,Universidad Diego Portales,12,Providencia,Si,Si,Aceptado
Sebastián Rubilar,42,Técnico en Administración,INACAP,20,Puente Alto,Si,Si,Aceptado
Rodrigo Llanos Bórquez,42,Ingeniero Informático,Universidad Mayor,19,Quilicura,Si,No,Aceptado
Anahis Cecilia González Salamanca,47,Diseñador Gráfico,Universidad Andrés Bello,3,Estación Central,Si,No,Rechazado
Alicia Sandra Sánchez Duarte,56,Ingeniero Informático,Universidad Diego Portales,8,La Serena,Si,No,Rechazado
Genoveva Claudia Zúñiga Alarcón,50,Contador Auditor,Universidad de Concepción,5,Providencia,Si,No,Rechazado
Catalina Cisterna Sepúlveda,38,Abogado,INACAP,8,Providencia,No,No,Rechazado
Camilo Juan Hernández Oyarce,23,Médico,Universidad Mayor,15,Estación Central,No,No,Aceptado
Gonzalo Osses Quezada,61,Ingeniero Informático,Universidad de Concepción,20,Independencia,Si,No,Rechazado
María Angélica Navarrete Silva,55,Licenciado en Ciencias,Universidad Técnica Federico Santa María,7,Quilicura,Si,No,Rechazado
Adriana Collao,44,Ingeniero Civil,Universidad Mayor,12,Viña del Mar,No,Si,Aceptado
Karen Aracena Vega,53,Técnico en Administración,Universidad Técnica Federico Santa María,11,Peñalolén,Si,No,Aceptado
Eric Ramírez Vidal,44,Periodista,Pontificia Universidad Católica,10,Valparaíso,No,Si,Rechazado
Javiera Luisa Mamani Segovia,45,Abogado,Instituto Profesional AIEP,2,San Miguel,Si,No,Rechazado
Matías Facundo Romero Cisternas,32,Técnico en Administración,Universidad Diego Portales,19,Providencia,Si,Si,Aceptado
Soledad Rosa Ibarra Gómez,28,Médico,Universidad Andrés Bello,18,Antofagasta,Si,No,Aceptado
José Matías Reyes Venegas,51,Licenciado en Ciencias,Universidad Adolfo Ibáñez,7,Quilicura,Si,Si,Rechazado
Víctor José Godoy Quezada,59,Licenciado en Ciencias,Instituto Profesional AIEP,14,Ñuñoa,No,Si,Aceptado
Juana Renata López Carrasco,23,Arquitecto,Universidad Andrés Bello,14,San Miguel,No,Si,Aceptado
Dora Viviana Ibarra Silva,57,Abogado,Universidad Adolfo Ibáñez,3,Quilicura,No,No,Rechazado
Williams Paolo González Cea,31,Abogado,Universidad Diego Portales,20,Recoleta,No,No,Aceptado
Agustina Rosa Parra Espinoza,48,Psicólogo,Universidad Mayor,7,Concepción,No,Si,Rechazado
Juliana Medel Rivas,37,Médico,Instituto Profesional AIEP,1,Concepción,No,Si,Rechazado
Oscar Sepúlveda Gutiérrez,36,Psicólogo,Universidad Adolfo Ibáñez,16,Viña del Mar,Si,Si,Aceptado
Alexis Acuña Romero,46,Arquitecto,Universidad de Santiago,17,Santiago,No,No,Rechazado
Teresa Génesis García Rojas,51,Contador Auditor,Universidad de Santiago,19,San Miguel,No,Si,Rechazado
Roberto Víctor Delgado Osorio,42,Técnico en Administración,Universidad Andrés Bello,2,Puente Alto,No,No,Rechazado
Daniela Valencia Parra,51,Contador Auditor,INACAP,6,Concepción,No,Si,Rechazado
Jaime Orellana Godoy,29,Arquitecto,Universidad Adolfo Ibáñez,13,La Florida,Si,No,Rechazado
Isaías Castillo Escobar,28,Ingeniero Informático,Universidad Mayor,11,Providencia,Si,Si,Aceptado
Carlos Ávalos,46,Enfermero,Universidad Diego Portales,12,Providencia,Si,No,Rechazado
Leonel Marco Saldivia Ibarra,50,Ingeniero Informático,Universidad Diego Portales,20,Puente Alto,Si,Si,Aceptado
María Martina Romero Ramírez,44,Ingeniero Civil,Universidad Técnica Federico Santa María,11,La Serena,No,No,Rechazado
Amparo González,64,Ingeniero Civil,Universidad Andrés Bello,4,Concepción,No,Si,Rechazado
Olivia Henríquez González,40,Ingeniero Civil,Universidad Mayor,6,Antofagasta,No,Si,Aceptado
Carlos Fuentes Paredes,46,Ingeniero Civil,Universidad Mayor,4,Peñalolén,No,Si,Aceptado
María Marín Bastías,22,Abogado,Instituto Profesional AIEP,11,Viña del Mar,Si,Si,Rechazado
María Antonia González Chávez,22,Ingeniero Comercial,Universidad Mayor,3,Maipú,Si,Si,Rechazado
Karina Jorquera,64,Diseñador Gráfico,Universidad Mayor,9,Peñalolén,No,No,Rechazado
